code,dividend,count,record_months,fetched_date,monthly,source
2093,168.0,4,,2026-08-14,0;40;0;0;25;0;0;30;0;0;73;0,yfinance
2095,21.0,6,,2026-08-14,3;0;2;0;3;0;4;0;3;0;6;0,yfinance
2096,74.0,5,,2026-08-14,0;43;0;8;0;4;0;10;0;9;0;0,yfinance
2097,36.0,6,,2026-08-14,0;9;0;6;0;9;0;7;0;4;0;1,yfinance
2098,109.0,6,,2026-08-14,0;82;0;7;0;2;0;10;0;6;0;2,yfinance
210A,78.0,4,,2026-08-14,0;0;32;0;0;11;0;0;26;0;0;9,yfinance
213A,1.7999999999999998,2,,2026-08-14,1.4;0;0;0;0;0;0.4;0;0;0;0;0,yfinance
221A,4.7,2,,2026-08-14,3.7;0;0;0;0;0;1;0;0;0;0;0,yfinance
2235,66.0,2,,2026-08-14,29;0;0;0;0;0;37;0;0;0;0;0,yfinance
2236,26.0,6,,2026-08-14,5;0;4;0;4;0;5;0;4;0;4;0,yfinance
2237,9.12,2,,2026-08-14,0;0;3.9;0;0;0;0;0;5.22;0;0;0,yfinance
223A,1.0,1,,2026-08-14,1;0;0;0;0;0;0;0;0;0;0;0,yfinance
2241,13.8,2,,2026-08-14,0;0;0;0;4.3;0;0;0;0;0;9.5;0,yfinance
2242,6.6000000000000005,2,,2026-08-14,0;0;0;0;2.2;0;0;0;0;0;4.4;0,yfinance
2243,6.0,2,,2026-08-14,0;0;1;0;0;0;0;0;5;0;0;0,yfinance
2245,17.0,4,,2026-08-14,0;0;4.1;0;0;4.4;0;0;4.3;0;0;4.2,yfinance
2247,15.0,2,,2026-08-14,0;0;8;0;0;0;0;0;7;0;0;0,yfinance
2248,27.0,2,,2026-08-14,0;0;17;0;0;0;0;0;10;0;0;0,yfinance
2249,39.0,2,,2026-08-14,0;0;25;0;0;0;0;0;14;0;0;0,yfinance
224A,46.0,1,,2026-08-14,46;0;0;0;0;0;0;0;0;0;0;0,yfinance
2250,7.0,2,,2026-08-14,0;3.9;0;0;0;0;0;3.1;0;0;0;0,yfinance
2252,11.0,2,,2026-08-14,0;0;7;0;0;0;0;0;4;0;0;0,yfinance
2253,72.0,6,,2026-08-14,10;0;10;0;12;0;14;0;11;0;15;0,yfinance
2255,8.3,4,,2026-08-14,1.9;0;0;2.2;0;0;2.1;0;0;2.1;0;0,yfinance
2256,7.5,4,,2026-08-14,1.9;0;0;1.6;0;0;2;0;0;2;0;0,yfinance
2257,8.9,4,,2026-08-14,1.8;0;0;2.3;0;0;2.4;0;0;2.4;0;0,yfinance
2258,13.8,4,,2026-08-14,3.3;0;0;3.8;0;0;3.3;0;0;3.4;0;0,yfinance
2259,7.1,4,,2026-08-15,1.4;0;0;1.5;0;0;2.8;0;0;1.4;0;0,yfinance
233A,10.0,2,,2026-08-15,0;0;2;0;0;0;0;0;8;0;0;0,yfinance
234A,32.0,2,,2026-08-15,0;10;0;0;0;0;0;22;0;0;0;0,yfinance
235A,37.0,4,,2026-08-15,0;4;0;0;14;0;0;3;0;0;16;0,yfinance
236A,5.7,4,,2026-08-15,1.4;0;0;1.5;0;0;1.5;0;0;1.3;0;0,yfinance
237A,14.6,4,,2026-08-15,3.2;0;0;4;0;0;4.1;0;0;3.3;0;0,yfinance
238A,12.7,4,,2026-08-15,2.7;0;0;3.5;0;0;3.3;0;0;3.2;0;0,yfinance
